"Received a patent for carborundum -the hardest man-made surface and was needed to bring about the industrial age.","Edward Goodrich Acheson"
"First tried to change chicle into automobile tires, before making it into a chewing gum.","Thomas Adams"
"Worked on the Mark computer series.","Howard Aiken"
"The engineer whose high-frequency alternator gave America its start in the field of radio communication.","Ernest F. W. Alexanderson"
"Invented a new type of x-ray spectrometer.","George Edward Alcorn"
"Invented the localizer antenna system for radio navigation systems.","Andrew Alford"
"Invented the world's first disposable cell phone.","Randi Altschul"
"Received patents for a radio distance and direction indicator, a landing system for air-crafts, a radar system for locating planes and the hydrogen bubble chamber, used to detect subatomic particles.","Luis Walter Alvarez"
"Invented a fireplace dampening device.","Virgie Ammons"
"The third women elected to the National Academy of engineering. Holds US patent no.3287659.","Dr. Betsy Ancker-Johnson"
"Patented the windshield wipers in 1905.","Mary Anderson"
"Invented a newborn scoring system called the Apgar Score for assessing the health of newborn infants.","Virginia Apgar"
"A mathematician from ancient Greece. He invented a special screw for raising water.","Archimedes"
"Invented a method of receiving high-frequency oscillations, part of every radio and television today.","Edwin Howard Armstrong"
"Developed a totally new way of processing film.","Barbara Askins"
"Determining who was first in the computing biz is not always as easy as ABC.","John Atanasoff"
"English mathematician that invented a precursor to the computer.","Charles Babbage"
"Received a patent for the water tube steam boiler, a safer and more efficient boiler.","George H. Babcock"
"The first high level computer programming language, Fortran was written by him and IBM.","John Backus"
"Patented a Method of Making Insoluble Products of Phenol and  Formaldehyde. ","Leo Baekeland"
"Remembered for the mechanical television (an earlier version of television). Also patented inventions related to radar and fiber optics.","John Logie Baird"
"His inventive spirit would lead him into publishing a Farmers' Almanac.","Benjamin Banneker"
"Along with fellow research chemist Paul Hogan invented a durable plastic called Marlex.","Robert Banks"
"Received a patent for the transistor invented in 1947.","John Bardeen"
"Earned U.S. Patent no.11,023 for a Design for the Statue of Liberty.","Frederic-Auguste Bartholdi"
"Invented and manufactured the rodeo's first one-hand bareback rigging.","Earl Bascom"
"The first African American woman doctor to receive a patent for a medical invention.","Patricia Bath"
"Editor and co-owner of Scientific American, was awarded patents for an improvement he made to typewriters (1857), for a cable traction railway system (1864) and for a pneumatic transit system for mail and passengers (1865).","Alfred Beach"
"Received a patent for a railroad car coupler and a rotary engine.","Andrew Jackson Beard"
"Invented an apparatus for testing acidity.","Arnold O. Beckman"
"In 1986, K. Alex Müller and him invented the first high-temperature superconductor.","George Bednorz"
"Patented magnetic recording.","S. Joseph Begun"
"Invented the telephone.","Alexander Graham Bell"
"Automotive and aviation inventor and industrialist.","Vincent Bendix"
"Was the second black woman to receive a patent. She received a patent for a Gong and Signal Chair for Hotels.","Miriam E. Benjamin"
"Invented the radio frequency mass spectrometer.","Willard H. Bennett"
"On January 29, 1886, received his first patent for a crude gas-fueled car.","Karl Benz"
"Invented the disk gramophone.","Emile Berliner"
"Invented the World Wide Web and HTML or hypertext markup language.","Tim Berners-Lee"
"Determining who was first in the computer biz is not always as easy as ABC.","Clifford Berry"
"An English engineer who invented the first process for mass-producing steel inexpensively.","Henry Bessemer"
"Invented a indestructible and fireproof building material--Geobond®.","Patricia Billings"
"Co-invented Crayola Crayons.","Edward Binney"
"Co-invented the scanning tunneling microscope.","Gerd Karl Binnig"
"Invented the fluid control device-- respirator and the pediatric ventilator.","Forrest M. Bird"
"Invented a method to make commercial frozen foods.","Clarence Birdseye"
"Invented the wave translation system that eliminates feedback distortion in telephone calls.","Harold Stephen Black"
"The second black man issued a patent by the United States Patent Office.","Henry Blair"
"An American who invented a sewing machine for sewing the soles of shoes to the uppers. In 1858, he received a patent for his special sewing machine.","Lyman Reed Blake"
"Invented the non-reflecting glass.","Katherine Blodgett"
"Invented a device to help a disabled person eat.","Bessie Blount"
"Co-invented a vaccine against viral hepatitis and developed a test that identified hepatitis B in blood sample.","Baruch S. Blumberg"
"Bombardier developed in 1958 the type of sport machine that we know today as a snowmobile.","Joseph-Armand Bombardier"
"An improvement to the ironing board (U.S. Patent no.473,653) was invented by African American Sarah Boone on April 26, 1892.","Sarah Boone"
"In 1849, the Bourdon tube pressure gauge was patented by Eugene Bourdon.","Eugene Bourdon"
"Invented a device that provided semiconductors with more speed.","Robert Bower"
"Co-invented the modern athletic shoe.","Bill Bowerman - Sneakers"
"Considered the founding father of genetic engineering.","Herbert Boyer"
"Invented an improved Electrical Resistor used in computers, radios, television sets, and a variety of electronic devices.","Otis Boykin"
"Invented braille printing.","Louis Braille"
"A pioneer in the machine tool industry.","Joseph Bramah"
"A Swiss textile engineer, who came up with the idea for a clear and protective, packaging film, invented Cellophane in 1908","Jacques Edwin Brandenberger"
"Co-invented the transistor - invented in 1947.","Walter H. Brattain"
"Electronic television is based on the development of the cathode ray tube that is the picture tube found in modern television sets. German scientist, Karl Braun invented the cathode ray tube oscilloscope (CRT) in 1897.","Karl Braun"
"Patented the first successful car air bag.","Allen Breed"
"C. B. Brooks invented an improved street sweeper truck.","Charles Brooks"
"Patented the Disposable Syringe.","Phil Brooks"
"Patented a receptacle for storing and preserving papers on November 2, 1886. It was special in that it kept the papers separated. Perhaps an early forerunner to the Filofax?","Henry Brown"
"Invented the world's first useful antifungal antibiotic, Nystatin.","Rachel Fuller Brown"
"Prolific gun inventor known for his automatic pistols.","John Moses Browning"
"Holds agricultural patents on different types of potatoes (Idaho), peaches etc.","Luther Burbank"
"Co-patented first antibody labeling agent.","Joseph H. Burckhalter"
"Invented the first practical adding and listing machine.","William Seward Burroughs"
"Invented the video game Pong and is perhaps the father of computer entertainment.","Nolan Bushnell"
"His famous inventions are used in modern recording heads, magnetic sound for motion pictures, tape machines and video tape recording decks.","Marvin Camras"
"Received a patent for electrophotography, the history of the Xerox or photocopy machine.","Chester F Carlson"
"A brilliant and tragic mind, Carothers was the brains behind Dupont and the history of synthetic fibers.","Wallace Hume Carothers"
"Brought us the comfort zone with Air Conditioning.","Willis Carrier"
"Behind the invention of the far-ultraviolet camera and spectrograph.","George Carruthers"
"Invented the game of baseball.","Alexander J Cartwright"
"A cleric and the inventor of the power loom.","Edmund Cartwright"
"A pioneer in surgery technology.","Benjamin Carson"
"Agricultural chemist who invented three hundred uses for peanuts and hundreds more uses for soybeans, pecans and sweet potatoes. Changed the history of agriculture in the south.","George Washington Carver"
"Invented Internet protocols.","Vinton Cerf"
"A noted biochemist, photobiologist, and astrochemist.","Emmett W Chappelle"
"Moisture proof cellophane.","William Hale Charch"
"Invented and patented new lubricants, used in high flying aircraft and NASA space missions.","John B Christian"
"In 1886, invented the dishwasher in Shelbyville, Illinois.","Josephine Garis Cochran"
"Invented the electrochemical paintbrush, nanotechnology used in etching microchips.","Adam Cohen"
"The founding father of genetic engineering.","Stanley Cohen"
"Invented Pine-Sol in 1929.","Harry A. Cole"
"Inventor of the colt revolver.","Samuel Colt"
"Invented Enovid - the first oral contraceptive.","Frank B Colton"
"Invented the antibiotic tetracycline, the most prescribed broad-spectrum antibiotic in the history of the United States.","Lloyd H Conover"
"Invented the X-Ray tube - the history of the Coolidge Tube.","William D Coolidge"
"Inventor of the modern cell phone.","Martin Cooper"
"The inventor of the Tom Thumb locomotive and Jello.","Peter Cooper"
"Received a patent for the pyrotechnic signaling system known as maritime signal flares.","Martha J Coston"
"Invented propellants for nuclear reactors.","Donald Cotton"
"Invented a electrostatic precipitator called the 'Cottrell' that removed particles/pollution smoke or gases in smokestacks.","Frederick G Cottrell"
"Invented a pre-soaped pad with which to clean pots.","Ed Cox"
"Designed and sold toilet paper.","Joseph Coyetty"
"Invented the Cray Supercomputer","Seymour Cray"
"Holds thirty-nine patents for heating systems and temperature regulating devices. He is known for creating the heating system in New York City's famous Radio City Music Hall.","David Crosthwait"
"Invented Actar 911, the CPR mannequin.","Dianne Croteau"
"Discovered radium and furthered x-ray technology.","Marie Curie"
"Invented a gas engine that allowed for a revolution in car design.","Gottlieb Daimler"
"Invented the magnetic resonance imaging (MRI) scanner that has revolutionized the field of diagnostic medicine.","Raymond V Damadian"
"English scientist that invented coke smelting and advanced the mass production of brass and iron goods.","Abraham Darby"
"Innovations in windsurfing.","Newman Darby"
"Designed a later version of the game Monopoly.","Charles Darrow"
"In 1842, the first grain elevator was built by him.","Joseph Dart"
"The Renaissance man","Leonardo DaVinci"
"Invented the first electric light.","Humphry Davy"
"Co-invented improvements in computer architecture that allow IBM compatible PCs to share the same peripheral devices.","Mark Dean"
"Invented the self-polishing cast steel plow.","John Deere"
"Invented space telegraphy with the triode amplifier.","Lee Deforest"
"Received a patent for the Smart Shoe.","Ronald Demon"
"Received a patent for RAM (random access memory).","Robert Dennard"
"He was the creator of the Dewar flask, the first thermos, and the co-created cordite, a smokeless gunpowder.","Sir James Dewar"
"Invented bandaids.","Earle Dickson"
"Invented the diesel-fueled internal combustion engine.","Rudolf Diesel"
"Designed, built, and microsurgically implanted neuroelectric interfaces that provide a patient with the sensory feedback otherwise lacking in paralyzed or even prosthetic limbs.","Daniel DiLorenzo"
"Produced many famous animated films - invented the multiplane camera.","Walt Disney"
"Invented oral contraceptives.","Carl Djerassi"
"The convenient disposable diaper was invented by this New Yorker in 1950.","Marion Donovan"
"Aibo creator - numerous patents.","Toshitada Doi"
