"St. Stephens","Alabama 1817-1819"
"Huntsville","Alabama 1819-1820"
"Cahawba","Alabama 1820-1826"
"Tuscaloosa","Alabama 1826-1846"
"Montgomery","Alabama 1846-Present"
"Sitka","Alaska 1846-1906"
"Juneau","Alaska 1906-1959"
"Prescott","Arizona 1864-1867"
"Tucson","Arizona 1867-1877"
"Prescott","Arizona 1877-1889"
"Phoenix","Arizona 1889-Present"
"Arkansas Post","Arkansas 1819-1921"
"Little Rock","Arkansas 1921-Present"
"Monterey","California 1777-1850"
"San José","California 1850-1851"
"Vallejo","California 1851-1853"
"Benicia","California 1853-1854"
"Sacramento","California 1854-Present"
"Auraria","Colorado 1859-1861"
"Colorado City","Colorado 1861-1862"
"Golden","Colorado 1862-1867"
"Denver","Colorado 1867-Present"
"Hartford","Connecticut 1639-1640"
"New Haven","Connecticut 1640-1701"
"Joint Capitals","Connecticut 1701-1875"
"Hartford","Connecticut 1875-Present"
"New Castle","Delaware 1704-1777"
"Dover","Delaware 1777-Present"
"St. Augustine","Florida 1565-1821"
"Pensacola","Florida 1821-1824"
"Tallahassee","Florida 1824-Present"
"Savannah","Georgia 1733-1779"
"Augusta","Georgia 1779-1780"
"Heard's Fort","Georgia 1780-1781"
"Augusta","Georgia 1781-1782"
"Savannah","Georgia 1782-1782"
"Ebenezer","Georgia 1782-1784"
"Savannah","Georgia 1784-1786"
"Augusta","Georgia 1786-1796"
"Louisville","Georgia 1796-1807"
"Milledgeville","Georgia 1807-1864"
"Macon","Georgia 1864-1865"
"Milledgeville","Georgia 1865-1868"
"Atlanta","Georgia 1868-Present"
"Lahaina","Hawaii 1820-1845"
"Honolulu","Hawaii 1845-Present"
"Lewiston","Idaho 1863-1864"
"Boise","Idaho 1864-Present"
"Kaskaskia","Illinois 1809-1819"
"Vandalia","Illinois 1819-1839"
"Springfield","Illinois 1839-Present"
"Vincennes","Indiana 1800-1813"
"Corydon","Indiana 1813-1825"
"Indianapolis","Indiana 1825-Present"
"Burlington","Iowa 1837-1841"
"Iowa City","Iowa 1841-1857"
"Des Moines","Iowa 1857-Present"
"Pawnee","Kansas - 5 days in 1855"
"Shawnee Mission","Kansas 1855-1856"
"Lecompton","Kansas 1856-1861"
"Topeka","Kansas 1861-Present"
"Danville","Kentucky 1780-1861"
"Bowling Green","Kentucky 1861-1792"
"Frankfort","Kentucky 1792-Present"
"Mobile Bay","Louisiana 1702-1720"
"Biloxi","Louisiana 1720-1722"
"New Orleans","Louisiana 1722-1830"
"Donaldsonville","Louisiana 1830-1831"
"New Orleans","Louisiana 1831-1849"
"Baton Rouge","Louisiana 1849-1862"
"Opelousas","Louisiana 1862-1863"
"Shreveport","Louisiana 1863-1865"
"New Orleans","Louisiana 1865-1880"
"Baton Rouge","Louisiana 1880-Present"
"Portland","Maine 1820-1827"
"Augusta","Maine 1827-1832"
"Portland","Maine 1832-1832"
"Augusta","Maine 1832-Present"
"St. Mary's City","Maryland 1634-1694"
"Annapolis","Maryland 1694-Present"
"Plymouth","Massachusetts 1620-1630"
"Boston","Massachusetts 1630-Present"
"Detroit","Michigan 1845-1847"
"Lansing","Michigan 1847-Present"
"Saint Paul","Minnesota 1849-Present"
"Natchez","Mississippi 1798-1802"
"Washington","Mississippi 1802-1817"
"Natchez","Mississippi 1817-1821"
"Jackson","Mississippi 1821-Present"
"St. Louis","Missouri 1765-1821"
"Saint Charles","Missouri 1821-1826"
"Marshall , Texas","Missouri during confederacy"
"Jefferson City","Missouri 1826-Present"
"Bannack","Montana 1864-1865"
"Virginia City","Montana 1865-1875"
"Helena","Montana 1875-1889"
"Helena","Montana 1889-Present"
"Omaha","Nebraska 1854-1867"
"Lincoln","Nebraska 1867-Present"
"Carson City","Nevada 1861-Present"
"Portsmouth","New Hampshire 1679-1775"
"Exeter","New Hampshire 1775-1808"
"Concord","New Hampshire 1808-Present"
"Elizabethtown","New Jersey 1665-1673"
"Perth Amboy","East Jersey 1673-1702"
"Burlington","West New Jersey 1673-1702"
"Joint Capitals","New Jersey 1702-1784"
"Trenton","New Jersey 1784-Present"
"San Juan","New Mexico 1598-1609"
"Santa Fe","New Mexico 1609-Present"
"New York","New York 1664-1777"
"Kingston","New York 1777-1778 (1/3)"
"Hurley","New York 1777-1778 (1/3)"
"Poughkeepsie","New York 1777-1778 (1/3)"
"New York, New York","US National 1785-1788"
"New York, New York","US National 1789-1790"
"New York","New York 1788-1797"
"Albany","New York 1797-Present"
"New Bern","North Carolina 1712-1794"
"Raleigh","North Carolina 1794-Present"
"Yankton","Dakota 1861-1883"
"Bismarck","Dakota 1883-1889"
"Bismarck","North Dakota 1889 - Present"
"Marietta","Ohio 1788-1800"
"Chillicothe","Ohio 1800-1810"
"Zanesville","Ohio 1810-1812"
"Chillicothe","Ohio 1812-1816"
"Columbus","Ohio 1816-Present"
"Tahlequah","Oklahoma Cherokees 1838 - 1889"
"Tuskahoma","Oklahoma Choctaws 1838-1889"
"Tishomingo","Oklahoma Chicksaws 1855-1889"
"Wewoka","Oklahoma Seminoles 1866-1889"
"Okmulgee","Oklahoma Creeks 1867-1889"
"Guthrie","Oklahoma 1889-1910"
"Oklahoma City","Oklahoma 1910-Present"
"Fort Vancouver","Oregon 1825-1848"
"Oregon City","Oregon 1848-1851"
"Salem","Oregon 1851-1855"
"Corvallis","Oregon 1855-1855"
"Salem","Oregon 1855-Present"
"Philadelphia, Pennsylvania","Pennsylvania 1682-1799"
"Philadelphia, Pennsylvania","US National 1776-1777"
"Philadelphia, Pennsylvania","US National 1778-1783"
"Philadelphia, Pennsylvania","US National 1790-1800"
"Lancaster","US National 1777-1777"
"Lancaster","Pennsylvania 1799-1812"
"Harrisburg","Pennsylvania 1812-Present"
"Providence","Rhode Island 1776-1854 (1/5)"
"Newport","Rhode Island 1776-1854 (1/5)"
"East Greenwich","Rhode Island 1776-1854 (1/5)"
"South Kingston","Rhode Island 1776-1854 (1/5)"
"Bristol","Rhode Island 1776-1854 (1/5)"
"Providence","Rhode Island 1854-1900 (1/2)"
"Newport","Rhode Island 1854-1900 (1/2)"
"Providence","Rhode Island 1900-Present"
"Charlestown","Carolina 1670-1712"
"Charlestown","South Carolina 1712-1786"
"Columbia","South Carolina 1786-Present"
"Pierre","South Dakota 1889-Present"
"Rocky Mount","Tennessee 1790-1791"
"Knoxville","Tennessee 1791-1812 (Modern Name)"
"White's Fort","Tennessee 1791-1812 (Former Name)"
"Kingston","Tennessee One day in 1807"
"Nashville","Tennessee 1812-1818"
"Murfreesboro","Tennessee 1818-1826"
"Nashville","Tennessee 1826-Present"
"Los Adaes","Texas 1721-1772"
"San Antonio de Bexar","Texas 1772-1824"
"Saltillo","Texas 1824-1833"
"Monclova","Texas 1833-1836"
"Washington","Republic of Texas 1836 (Old Name)"
"Washington-on-the-Brazos","Republic of Texas 1836 (New Name)"
"Galveston","Republic of Texas 1836-1837 (1/4)"
"Harrisburg","Republic of Texas 1836-1837 (1/4)"
"Velasco","Republic of Texas 1836-1837 (1/4)"
"Columbia","Republic of Texas 1836-1837 (1/4)"
"Houston","Republic of Texas 1837-1839"
"Waterloo","Republic of Texas 1839-1845 before becoming capital"
"Austin","Republic of Texas 1839-1845"
"Austin","Texas 1845-Present"
"Fillmore","Utah 1850-1858"
"Salt Lake City","Utah 1858-Present"
"Windsor","Vermont 1777-1805"
"Montpelier","Vermont 1805-Present"
"Jamestown","Virginia 1619-1699"
"Williamsburg","Virginia 1699-1780"
"Richmond","Virginia 1780-Present"
"Fort Vancouver","Washington 1825-1848"
"Oregon City","Washington 1848-1851"
"Salem","Washington 1851-1853"
"Olympia","Washington 1853-Present"
"Wheeling","West Virginia 1863-1870"
"Charleston","West Virginia 1870-1875"
"Wheeling","West Virginia 1875-1885"
"Charleston","West Virginia 1885-Present"
"Belmont","Wisconsin 1836-1837"
"Burlington","Wisconsin1837-1838"
"Madison","Wisconsin 1838-Present"
"Cheyenne","Wyoming 1869-Present"
